SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL" 
4G180,"Tenda 4G LTE 150Mbps Mobile WiFi Router | 4G180",34,70,2,106,750,952.1700,Tenda,https://scoop.co.za/download/marketing/images/4G180 .jpg 
4G680,"Tenda 4G LTE 300Mbps WiFi Router | 4G680",0,0,0,0,995,1252.1700,Tenda,https://scoop.co.za/download/marketing/images/4G680.jp g 
ACB-AC,"Ubiquiti AirCube AC WiFi Router | ACB-AC",20,101,3,124,1025,1282.6100,Ubiquiti,https://scoop.co.za/download/marketing/image s/ACB-AC.jpg 
ACB-ISP,"Ubiquiti AirCube WiFi PoE Access Point with UNMS | ACB-ISP",159,107,30,296,395,478.2600,Ubiquiti,https://scoop.co.za/download/marketing/imag es/ACB-ISP.jpg 
AF-11FX,"Ubiquiti AirFiberX 11GHz PtP Radio | AF-11FX",10,43,2,55,8595,10691.3000,Ubiquiti,https://scoop.co.za/download/marketing/images /AF-11FX.jpg 
AF-11FXDUPL,"Ubiquiti AirFiberX 11Ghz Low Band Duplexer | AF-11FX-DUP-L",21,79,2,102,2650,3300.0000,Ubiquiti,https://scoop.co.za/download/marketin g/images/AF-11FXDUPL.jpg 
AF-11G35,"Ubiquiti AirFiber Dish 11Ghz 35dBi 81cm | AF-11G35",15,56,3,74,5325,6652.1700,Ubiquiti,https://scoop.co.za/download/marketing/images /AF-11G35.jpg 
AF-5XHD,"Ubiquiti AirFiber5X HD PtP Radio Gigabit WiFi | AF-5XHD",64,117,9,190,5495,6865.2200,Ubiquiti,https://scoop.co.za/download/marketing/ima ges/AF-5XHD.jpg 
AFI-INSK,"Ubiquiti AmpliFi Instant Router +1 MeshPoint Kit | AFI-INS",37,113,5,155,2495,3126.0900,Ubiquiti,https://scoop.co.za/download/marketing/image s/AFI-INSK.jpg 
AFI-INSR,"Ubiquiti AmpliFi Instant Router | AFI-INS-R",23,52,3,78,1375,1717.3900,Ubiquiti,https://scoop.co.za/download/marketing/image s/AFI-INSR.jpg 
AIR-D523X,"Ubiquiti 5GHz AirFiber Dish 23dBi Slant 45 PtP | AF-5G23-S45",16,36,5,57,1450,1821.7400,Ubiquiti,https://scoop.co.za/download/marketing/ima ges/AIR-D523X.jpg 
AIR-D530,"Ubiquiti 5GHz AirMax Dish 30dBi Backhaul PtP | RD-5G30",17,18,5,40,1850,2304.3500,Ubiquiti,https://scoop.co.za/download/marketing/images/ AIR-D530.jpg 
AIR-D530LW,"Ubiquiti 5GHz AirMax Dish 30dBi Light Weight PtP | RD-5G30-LW",62,243,16,321,1395,1734.7800,Ubiquiti,https://scoop.co.za/download/marketing /images/AIR-D530LW.jpg
